text,label
Bagages perdus sur le vol Air France AB204 depuis Orly,lost_luggage
"Je cherche mes valises à l'aeroport et ne les trouve pas, ou sont-elles censé être",lost_luggage
Je ne trouve pas mes valises après le vol Turkey Airlines CL405,lost_luggage
J'ai besoin de savoir où m'adresser en cas de bagages perdus,lost_luggage
Savez-vous la procédure en cas de perte de bagages,lost_luggage
Veuillez suggérer des activités touristiques amusantes à Tokyo,travel_suggestion
"Si je vais à Evans, que dois-je faire",travel_suggestion
Quels sont les bons restaurants à Chicago,travel_suggestion
où devrais-je passer mon temps libre,travel_suggestion
Que puis-je faire à Nashville,travel_suggestion
Donnez-moi une liste de choses à faire à Orlando,travel_suggestion
Où est la meilleure cave du sud de la France,travel_suggestion
Y a-t-il des activités touristiques amusantes en Australie,travel_suggestion
Quels sont les lieux les plus intéressants à Hawaii,travel_suggestion
Que faudrait-il visiter en priorité en Californie,travel_suggestion
"Je me rends en Islande, donnez-moi une liste de bonnes adresses",travel_suggestion
J'aimerais avoir la liste des meilleurs bars à Toulouse,travel_suggestion
Comment exploiter au mieux mon temps libre à Paris,travel_suggestion
Je veux le guide des lieux intéressants à Seattle,travel_suggestion
Où devrais-je aller en priorité si je suis à Pékin,travel_suggestion
Voulez-vous me faire part des restrictions de bagage à main pour American Airlines,carry_on
Restrictions de cabine pour les émirats arabes unis,carry_on
Qu'est-ce que je suis autorisé à prendre en cabine avec American Airlines,carry_on
Y a-t-il une limite de poids pour mon bagage à main,carry_on
Combien de bagages à main puis-je prendre pendant un vol avec United pour Lax,carry_on
Quelles sont les règles concernant les bagages à main pour les vols Virgin Airlines,carry_on
Y a-t-il une limite de poids de bagage cabine,carry_on
Dois-je payer pour mes bagages à main,carry_on
Quelle est la limite de poids pour mes bagages,carry_on
Est-ce que je peux prendre mon bagage à main en cabine avec Air France,carry_on
Y a-t-il un prix à payer pour mes bagages à main avec Turkey Airlines,carry_on
"J'ai un bagage cabine, quelle est ma limite de poids",carry_on
J'aimerais avoir les restrictions de bagages pour l'Afrique du Sud,carry_on
Suis-je limité dans le nombre de bagages que je dois prendre pour mon vol,carry_on
Donnez-moi le poids maximal pour mon bagage à main,carry_on
Réservez-moi une chambre du 11 au 15 novembre à Cali,book_hotel
Trouvez-moi un endroit où séjourner à Cali du 11 au 15 novembre,book_hotel
Quels hôtels ont des critiques décentes à Bangor,book_hotel
Veuillez me trouver une chambre d'hôtel pour 4 personnes du lundi au mercredi à Lakewood,book_hotel
"Trouvez un hôtel Columbus, Ohio avec de bonnes critiques",book_hotel
"S'il vous plaît, aidez-moi à réserver un endroit où séjourner à Pittsburgh du lundi au vendredi",book_hotel
J'ai besoin d'une chambre d'hôtel assez grande pour 4 personnes du lundi au mercredi à Lakewood,book_hotel
Je cherche une chambre d'hôtel pour 3 personnes dont un enfant pour vendredi à Marseille,book_hotel
Trouvez-moi un hôtel pour ma famille de 5 à Dubaï,book_hotel
Est-il possible de m'indiquer un lieu où séjourner ce lundi à Sydney,book_hotel
Quel est le meilleur hôtel à Londres,book_hotel
Y a-t-il un hôtel où il reste 3 chambres pour ma famille pour lundi à Washington,book_hotel
J'aimerais que l'on m'indique un hôtel Mercure à Avignon,book_hotel
Listez-moi les hôtels à plus de 3 étoiles à Nice,book_hotel
Je veux une chambre du 12 au 15 novembre à Lisbonne,book_hotel
Trouvez-moi des vols aller-retour de LAX vers SFOX,book_flight
Réservez un vol de Chicago à DC lundi et revenant mercredi,book_flight
Je recherche un vol aller-retour de AAF à DIA du 23 février au 28 février,book_flight
Pourriez-vous faire une réservation de vol avec Air Emirates d'Orlando à Londres,book_flight
J'ai besoin de réserver un vol aller-retour de Dallas à Los Angeles du 2 au 10 mars,book_flight
Je voudrais savoir quels vols sont disponibles sur El Paso à Dallas le 10 juin pour moins de 300 $,book_flight
Serait-il possible de me réserver un vol Air France pour Nice,book_flight
J'aimerais être informé des vols possibles à réserver pour Sydney le 20 avril,book_flight
Donnez-moi la liste des vols disponibles pour New York pour moins de 200€,book_flight
Je cherche à réserver un vol aller-retour pour Berlin du 15 mars au 21 mars,book_flight
Reservez-moi un vol pour Helsinki depuis Washington qui part mercredi,book_flight
J'ai besoin de faire une réservation de vol pour Washington pour ce soir,book_flight
Y a-t-il la possibilité de réserver des vols pour Brasilia pour moins de 150 $,book_flight
Informez-moi de la liste des vols le 2 juillet pour moins de 300 $,book_flight
Je désire savoir s'il est possible de réserver un vol qui part de Dallas à partir du 25 novembre,book_flight
Combien coûte des frais de découvert pour la banque,out_of_scope
Quelle taille d'essuie-glace cette voiture prend-t-elle,out_of_scope
Quel est le plus grand état des États-Unis,out_of_scope
Quelle est la compagnie aérienne la plus populaire,out_of_scope
Combien de planètes avons-nous découvert,out_of_scope
Combien de côtés dans un hexagone,out_of_scope
Combien de temps dure l'hiver,out_of_scope
qui est l'entraîneur des Chicago Bulls,out_of_scope
Combien d'Oscars ont gagné les films Star Wars,out_of_scope
Veuillez trouver la capitale du Pakistan ,out_of_scope
qui est le personnage le plus effrayant de Start Trek,out_of_scope
Quelle est la durée de vie de la batterie moyenne d'un téléphone Android,out_of_scope
Quand Camus est-il mort,out_of_scope
Quand Nintendo a-t-il été créé,out_of_scope
Quel personnage Marvel est apparu dans le plus de films,out_of_scope
Quels sont les avantages de terminer le lycée,out_of_scope
Pouvez-vous me dire à quelle vitesse moyenne l'avion vers la Californie va,out_of_scope
Est-il possible de louer une voiture à la Laguardia du mardi au vendredi,out_of_scope
Que vaut un dollar au Mexique,out_of_scope
Quel est le taux de change entre l'USD et l'euro,out_of_scope
Pouvez-vous me dire le fuseau horaire à San Francisco,out_of_scope
